from_idx,to_idx,from_name,to_name
11,0,adding_and_subtracting_negative_numbers,absolute_value
0,1,absolute_value,absolute_value_add_sub
5,1,absolute_values_meaning,absolute_value_add_sub
1,2,absolute_value_add_sub,absolute_value_add_sub_properties
389,3,linear_equations_3,absolute_value_equations
753,4,the_complex_plane,absolute_value_of_complex_numbers
211,4,distance_formula,absolute_value_of_complex_numbers
143,4,complex_number_polar_form_intuition_new,absolute_value_of_complex_numbers
11,5,adding_and_subtracting_negative_numbers,absolute_values_meaning
359,5,interpreting_absolute_value,absolute_values_meaning
511,6,operations_with_negative_numbers,add_subtract_negative_fractions
373,7,l_ml_time_div,adding_and_subtracting_centimeter_and_millimeter
12,8,adding_and_subtracting_polynomials,adding_and_subtracting_complex_numbers
753,8,the_complex_plane,adding_and_subtracting_complex_numbers
723,9,subtracting_decimals,adding_and_subtracting_decimals_word_problems
725,10,subtracting_fractions,adding_and_subtracting_fractions
21,10,adding_fractions,adding_and_subtracting_fractions
23,11,adding_negative_numbers,adding_and_subtracting_negative_numbers
256,12,equation_of_a_line,adding_and_subtracting_polynomials
688,13,simplifying_radicals,adding_and_subtracting_radicals
733,14,subtraction_within_20,adding_and_subtracting_within_20
628,14,repeated_addition,adding_and_subtracting_within_20
34,15,addition_4,adding_decimals
16,15,adding_decimals_0.5,adding_decimals
616,15,recognize_num_less_than_10000,adding_decimals
197,16,decimals_on_the_number_line_2,adding_decimals_0.5
198,16,decimals_on_the_number_line_2_new,adding_decimals_0.5
15,19,adding_decimals,adding_decimals_2
22,21,adding_fractions_with_common_denominators,adding_fractions
687,21,simplifying_fractions,adding_fractions
513,22,order_of_operations,adding_fractions_with_common_denominators
620,22,recognizing_fractions_0.5,adding_fractions_with_common_denominators
517,23,ordering_negative_numbers,adding_negative_numbers
730,24,subtraction_4,adding_subtracting_carry_2
731,24,subtraction_and_addition,adding_subtracting_carry_2
11,26,adding_and_subtracting_negative_numbers,adding_subtracting_dicimals_fractions_and_percentage
10,27,adding_and_subtracting_fractions,adding_subtracting_mixed_numbers_0.5
170,27,converting_mixed_numbers_and_improper_fractions,adding_subtracting_mixed_numbers_0.5
27,28,adding_subtracting_mixed_numbers_0.5,adding_subtracting_mixed_numbers_1
729,29,subtraction_3,adding_subtracting_no_carry_3
387,30,linear_equations_1,adding_vectors
487,32,number_line,addition_2
31,32,addition_1,addition_2
177,32,count_number_to_100,addition_2
785,32,understand_coins,addition_2
494,32,number_line_4,addition_2
14,32,adding_and_subtracting_within_20,addition_2
32,33,addition_2,addition_3
32,34,addition_2,addition_4
261,34,estimation_three-digit_add_sub,addition_4
722,35,subtract_of_positive_negative_fraction,addition_of_vary_denominator_fraction
756,36,time_terminology,addition_two_numbers
308,38,fractions_word_problem,advanced_fraction
826,39,writing_expressions_1,age_problems
826,40,writing_expressions_1,age_problems_new
389,41,linear_equations_3,age_word_problems
650,42,segment_addition,alternate_exterior_angles
524,43,parallel_lines_1,alternate_exterior_angles_2
156,43,congruent_angles,alternate_exterior_angles_2
650,44,segment_addition,alternate_interior_angles
524,45,parallel_lines_1,alternate_interior_angles_2
156,45,congruent_angles,alternate_interior_angles_2
807,49,vertical_angles,angle_addition_postulate
767,50,triangle_angles_1,angle_bisector_theorem
355,51,inscribed_angles_3,angle_of_osculation
791,52,understanding_comparing_angle,angle_rotation
621,53,recognizing_rays_lines_and_line_segments,angle_types
52,53,angle_rotation,angle_types
772,54,triangle_types,angles_1
54,55,angles_1,angles_2
577,56,quadrilateral_types,angles_of_a_polygon
