user_id,total_interactions,unique_exercises,accuracy,hint_rate,active_days
2,39,7,0.9231,0.0769,0.0
3,182,6,0.9176,0.0165,0.1
5,124,19,0.8468,0.0565,0.0
8,230,26,0.8348,0.0348,15.1
9,150,26,0.7333,0.06,68.1
16,580,40,0.8086,0.0776,76.2
17,459,39,0.7429,0.1481,74.0
21,388,23,0.8943,0.0619,21.0
23,254,23,0.7638,0.1142,45.8
31,41,10,0.7805,0.0,1.1
34,477,44,0.891,0.0147,66.8
35,46,7,0.3913,0.1522,1.1
40,42,8,1.0,0.0,0.0
49,30,5,0.9333,0.0333,0.0
52,3222,228,0.9081,0.0102,117.0
54,113,15,0.7699,0.1504,35.0
64,312,31,0.8397,0.0288,105.0
72,37,3,0.8378,0.0541,0.0
75,85,16,0.9294,0.0471,7.0
78,111,10,0.7297,0.1171,21.0
80,47,14,0.8511,0.1277,75.1
81,75,10,0.9467,0.0267,0.0
85,184,22,0.6685,0.2228,70.1
90,74,7,0.7297,0.1892,6.2
92,74,11,0.8784,0.027,7.0
96,46,8,0.9783,0.0,0.0
100,1564,99,0.8197,0.0409,477.6
101,1240,87,0.9048,0.004,84.0
102,50,16,0.76,0.12,4.8
109,119,12,0.8235,0.0504,149.9
110,35,5,0.8,0.0571,3.6
112,117,18,0.9402,0.0,7.0
113,48,11,0.7708,0.0833,0.0
116,361,33,0.9086,0.0222,40.1
117,144,18,0.9583,0.0,4.8
122,83,9,0.8916,0.012,7.0
124,117,18,0.8205,0.1453,45.2
134,147,16,0.8707,0.0612,1.1
140,74,14,0.9324,0.0135,0.0
150,57,9,0.8421,0.1053,0.0
152,42,2,0.1667,0.0714,0.0
154,115,16,0.6348,0.1043,212.2
157,305,33,0.8492,0.0361,167.1
167,153,30,0.7647,0.0588,201.2
168,513,49,0.8694,0.0507,213.3
172,35,7,0.8,0.1429,0.0
173,50,11,0.96,0.02,28.0
175,31,11,0.6774,0.2258,3.9
177,76,10,0.8553,0.0263,50.0
185,190,18,0.6684,0.2421,98.0
188,46,10,0.8261,0.0,7.0
189,33,5,0.9697,0.0303,0.0
194,127,19,0.8031,0.063,0.2
195,455,51,0.7714,0.0418,27.8
197,36,4,0.9444,0.0556,0.0
199,75,4,0.6267,0.2267,70.0
203,91,22,0.8022,0.1538,19.0
204,171,26,0.8538,0.076,14.0
205,116,17,0.7845,0.0345,43.9
209,108,18,0.8704,0.0093,119.0
210,60,5,0.75,0.1667,21.0
211,475,46,0.6526,0.2463,224.8
212,49,6,0.9388,0.0204,3.0
214,51,10,0.9608,0.0,3.9
215,30,8,0.4333,0.4,0.0
226,52,4,0.7885,0.0,0.0
228,67,10,0.9104,0.0,7.0
232,77,14,0.8961,0.026,88.1
233,114,13,0.8947,0.0351,50.1
234,684,58,0.9269,0.0175,19.0
237,822,35,0.9063,0.0109,230.0
238,31,4,0.5161,0.2903,0.0
239,205,30,0.8488,0.0488,52.9
241,88,16,0.9318,0.0227,0.0
243,31,7,0.6774,0.1935,0.0
245,146,16,0.8973,0.0479,42.0
247,98,13,0.8673,0.0408,41.0
260,338,31,0.571,0.0473,84.9
261,188,11,0.7074,0.0479,38.9
266,99,8,0.596,0.2424,14.0
267,60,11,0.75,0.1667,77.0
269,38,15,0.7632,0.0789,13.0
270,208,25,0.8317,0.0865,35.0
271,59,10,0.8644,0.0339,0.0
272,1141,92,0.7967,0.0938,233.3
273,191,19,0.6963,0.1675,15.2
278,246,21,0.9065,0.0285,18.7
280,32,4,0.7812,0.0,0.0
282,80,5,0.8375,0.0,0.0
283,155,9,0.7484,0.0903,0.2
289,42,9,0.8333,0.0952,21.2
291,151,28,0.9205,0.0066,89.6
292,71,16,0.4225,0.507,0.0
293,116,8,0.8534,0.069,0.1
296,96,12,0.9583,0.0104,0.0
300,60,12,0.9333,0.0167,0.0
301,227,26,0.8282,0.1013,84.0
303,210,21,0.9,0.0238,14.0
309,1029,64,0.8037,0.0962,74.9
314,679,35,0.7909,0.0442,120.0
315,53,2,0.8868,0.0377,0.0
324,55,4,0.9455,0.0,2.0
326,60,5,0.5,0.2333,21.0
330,32,9,0.9062,0.0312,0.0
333,32,3,0.8125,0.0312,0.0
334,85,12,0.8471,0.0,30.9
335,58,7,0.7759,0.1897,7.9
